external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N,TAU:1a26e28b63cd96764f01e80e2c4048ed77fa3820f3cca7ca172cc370f80a5f30,"[""CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N""]",false,false
CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N,TAU:5eada6f9b8580fb102501e802647b2fb3537500baa59aa8910dcac8e20e6bc8f,"[""CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N""]",false,false
CMP:BBEAQIROQSPTKN-UHFFFAOYSA-N,TAU:2440abfbb1f9e1b7e7c27e55be48c99a6e4a85fabd90a17e6b527c9389df8bf0,"[""CMP:BBEAQIROQSPTKN-UHFFFAOYSA-N""]",false,false
CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N,TAU:3b701962f33aed075e36f02250fe5b6c8c213d45488b5ba0d3cf451c17bcffab,"[""CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N""]",false,false
CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N,TAU:57d6bed86ee9e6b802b1de2305ac169f22a671e12fe8c5f4a05e9b4687edeb29,"[""CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N""]",false,false
CMP:BDAGIHXWWSANSR-UHFFFAOYSA-N,TAU:a59673533f14270288d5bad19bf7538bc66ccee5a37f13c26d751160ec75ecec,"[""CMP:BDAGIHXWWSANSR-UHFFFAOYSA-N""]",false,false
CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N,TAU:462b618a7419d00dd59fb15aed29e14bafd4a7d7d862f15758cac9c392890247,"[""CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N""]",false,false
CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N,TAU:75f4d6d4f5276890d4a2e74e13241b4be62ead424790b202921150f63410b107,"[""CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N""]",false,false
CMP:BFCFYVKQTRLZHA-UHFFFAOYSA-N,TAU:ee669d529d82c7ee6c0054f6a66a3f5c1548c7a7971796f1d01cf3f9f32ea0c3,"[""CMP:BFCFYVKQTRLZHA-UHFFFAOYSA-N""]",false,false
CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N,TAU:63c22f7c60f111f34b7990ccb88ed01d1f40fc91fac40a1034c24e64c07d1c69,"[""CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N""]",false,false
CMP:BFPSDSIWYFKGBC-UHFFFAOYSA-N,TAU:65633b64a7c04dfd2bd203ea233e8f0993608262ef343eec3fec2c30bddb98b7,"[""CMP:BFPSDSIWYFKGBC-UHFFFAOYSA-N""]",false,false
CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N,TAU:8cd64e115e76ec5f564a9bf1b460ee4ef51a3ce1a48380a2aa93fb8d519cb67b,"[""CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N""]",false,false
