record_key,source_dataset,source_record_id,exclusion_reason
REC:a6fadf679b2ac12108ef124f6e642b934efacf480fc89f9cc07e819e78c77749,ccris,115:cstu:23,无含碳有机片段
REC:edecf86442e6c1f18e2b640efcbe930244854d12eaa234131e161b6ffac4f74f,ccris,115:cstu:24,no_standardized_key
REC:edecf86442e6c1f18e2b640efcbe930244854d12eaa234131e161b6ffac4f74f,ccris,115:cstu:24,无含碳有机片段
REC:3950c7c835ba3c6aafbedb78148440f255f216b7a0acb75fd3340bbf5a478f98,ccris,115:cstu:25,no_standardized_key
REC:3950c7c835ba3c6aafbedb78148440f255f216b7a0acb75fd3340bbf5a478f98,ccris,115:cstu:25,无含碳有机片段
REC:4d4162ced89fb99882b77903a5eeb876a233728a2cd19c49cc289864f06d1843,ccris,115:cstu:26,no_standardized_key
REC:4d4162ced89fb99882b77903a5eeb876a233728a2cd19c49cc289864f06d1843,ccris,115:cstu:26,无含碳有机片段
REC:9a69b3c308cf33cb7b0e744dd7beca5beb011b6239a86e7bf6f2d9037214224f,ccris,115:cstu:27,no_standardized_key
REC:9a69b3c308cf33cb7b0e744dd7beca5beb011b6239a86e7bf6f2d9037214224f,ccris,115:cstu:27,无含碳有机片段
REC:83be83b4d6e4e26227ed8110eecf61877942efae78057e946a22d7da856075d0,ccris,115:cstu:28,no_standardized_key
REC:83be83b4d6e4e26227ed8110eecf61877942efae78057e946a22d7da856075d0,ccris,115:cstu:28,无含碳有机片段
REC:5f4bfbdb5106994b03b35accc1458f52e104a41b07d6630c78c8fd9c4d362409,ccris,115:cstu:29,no_standardized_key
REC:5f4bfbdb5106994b03b35accc1458f52e104a41b07d6630c78c8fd9c4d362409,ccris,115:cstu:29,无含碳有机片段
REC:e5e1cf6989895d2ca1d3a08daac9a4b40e99ed2cefee52f3de5163bfb1c278dc,ccris,115:cstu:3,no_standardized_key
REC:e5e1cf6989895d2ca1d3a08daac9a4b40e99ed2cefee52f3de5163bfb1c278dc,ccris,115:cstu:3,无含碳有机片段
REC:0b3aeea519a1b5c2c3e1d28ecef4009a8cb777c137c0a9e7718f5e2ac05efabf,ccris,115:cstu:30,no_standardized_key
REC:0b3aeea519a1b5c2c3e1d28ecef4009a8cb777c137c0a9e7718f5e2ac05efabf,ccris,115:cstu:30,无含碳有机片段
REC:fc66b58face0ac01f39de450ff40b03e894906f8dac8e8517542c8d60b11d6e1,ccris,115:cstu:31,no_standardized_key
REC:fc66b58face0ac01f39de450ff40b03e894906f8dac8e8517542c8d60b11d6e1,ccris,115:cstu:31,无含碳有机片段
REC:008312316e08173336f03666fc9a2d6ebf66b444e79ea08b7d537ed14ff3e615,ccris,115:cstu:32,no_standardized_key
REC:008312316e08173336f03666fc9a2d6ebf66b444e79ea08b7d537ed14ff3e615,ccris,115:cstu:32,无含碳有机片段
REC:303cedd6bbae35251c4736593897c6465932c96c5ce6ea3f0a99e8c910069d7d,ccris,115:cstu:33,no_standardized_key
REC:303cedd6bbae35251c4736593897c6465932c96c5ce6ea3f0a99e8c910069d7d,ccris,115:cstu:33,无含碳有机片段
REC:d219ee65f5b78df72299aef373b2e1ea5e595f2b6695c24293931a82660758f9,ccris,115:cstu:34,no_standardized_key
REC:d219ee65f5b78df72299aef373b2e1ea5e595f2b6695c24293931a82660758f9,ccris,115:cstu:34,无含碳有机片段
REC:bf8cc71e1891ff89d8a30a56376bf5c08af617493deccdc3d9feb26b96c6bc07,ccris,115:cstu:35,no_standardized_key
REC:bf8cc71e1891ff89d8a30a56376bf5c08af617493deccdc3d9feb26b96c6bc07,ccris,115:cstu:35,无含碳有机片段
REC:e02c8c7ec5188ccf905dad748c68c58570376875ace0f1a12486d67205f8fc35,ccris,115:cstu:36,no_standardized_key
