connectivity_key,contribution_type,contributor_id,source_dataset
BHAAPTBBJKJZER,excluded_record_component,REC:000c8704860ba1d65b56b3beb3b7d887d6f45ad0f90cd402de08ea1d521de6e6,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:04236d965b00e3aa204e35644b028b40b9380c42348c9dcb68348efc7d1095f8,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:26a328f6243e7c087f1b3e5960d60503c14c917c00b1944cd4a00d292de3a25c,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:3b2376a331b2352940c39b1c105cd022ff2725a8a3dc1f3c7aa8c3c14e84bc3d,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:3b390464a4322670d2550c6178c589d6ae4e9e0ef7d84e0c2dbccb95b182eb42,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:4b1d44b3232196eea91344c1ee46cd800618a123332212e3225200b2360a81bd,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:4b37ed119c547c2f4da58883bcf86fcc4a62454eacebd0afe7db463e04caee7b,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:703fa2e1934ec95ec29c63e0a758b2e641fde45a8d22bb5a67c974eb812edf6a,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:910b2d5f9290d60ff7aa4711e958f4cec24ca756e1c3522c31decd88a033775a,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:9d59879ae19f7b973081c49b0634ff79d226b1e87fdfdb6624fa77812662f2cf,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:adbf11e5e6f4a2e1c14607cefb2b85499ba29173224a289c6579091d910933f5,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:b6f531dcd90e6e92656dd89b30f91d356f2011dea13682bc08a412bf9081bac9,cpdb
BHAAPTBBJKJZER,excluded_record_component,REC:d9a717fa8ddacb1cca8e08a7e2491f2200860f667d58557708e1b435e9e5c372,cpdb
BHNZEZWIUMJCGF,compound_role,CMP:BHNZEZWIUMJCGF-UHFFFAOYSA-N,iris
BIWJNBZANLAXMG,compound_role,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,cpdb
BIWJNBZANLAXMG,compound_role,CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,iris
BIXZHMJUSMUDOQ,compound_role,CMP:BIXZHMJUSMUDOQ-UHFFFAOYSA-N,cpdb
BJQHLKABXJIVAM,compound_role,CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N,cpdb
BJQHLKABXJIVAM,compound_role,CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N,iris
BJUPUKIYTMVLCW,compound_role,CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N,cpdb
BLFLLBZGZJTVJG,compound_role,CMP:BLFLLBZGZJTVJG-UHFFFAOYSA-N,cpdb
BLQOLXMZXQXGOL,compound_role,CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N,cpdb
BMIPMKQAAJKBKP,compound_role,CMP:BMIPMKQAAJKBKP-UHFFFAOYSA-N,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:1099822ab57ea32c10962024e75344cea84af167a7192c553a1cf837c488deae,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:16a7dba6f07cfd3742f5effc2d6adcf3b392bc63b4bf56123bde4aebaeec7fa0,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:19c88e11ec22e254663a78a89a242d32d0f778d6aae82780493588fb2f6cebf4,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:1d5dfebdbe62aa00637b5bbf1ce8a120dd7bb777c313beb92af9744416eba5fb,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:29ab5e6031a959ee91a3a1fc5ef1393c1ce8d1dd0af5663b2c65f8660db3a35e,cpdb
