source,label_raw,label_category,label_candidate,label_reason,count
ccris,Negative. Authors describe as equivocal evidence of carcinogenicity.,uncertain,negative,带限制性描述的结果,1
ccris,Negative. Authors describe as some evidence of carcinogenicity.,uncertain,negative,带限制性描述的结果,1
ccris,Negative. Conclusions of authors: No evidence of carcinogenic activity.,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. DNA adducts observed in mammary gland DNA collected 24 hr after last dosing.,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. Dose-related non-neoplastic nasal lesions were observed.,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. Increased incidence of thyroid tumors judged by reviewers as equivocal evidence of oncogenic effect.,uncertain,negative,带限制性描述的结果,1
ccris,Negative. Length of experiment may have been insufficient to express tumors.,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. Parallel experiment in Hras128 rat line was conducted to determine bladder tumor incidence (10/27 in experimental animals vs 4/13 in controls; not statistically significant),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. Positive trend but results do not reach statistical significance (NTP describes results as Equivocal),uncertain,negative,带限制性描述的结果,1
ccris,"Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL.",uncertain,negative,未纳入严格白名单的带方向结果,4
ccris,"Negative: Although only hyperplasia observed in wild-type mouse,  forestomach papillomas and squamous cell carcinomas were observed in low incidence in rasH2 animals.",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative: Purity 98.5%; Liver: Nonneoplastic liver lesions (eosinophilic cellular alteration and spongiosis hepatitis),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative: Purity 99.3%,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative; Although only hyperplasia observed in wild-type mouse,  forestomach papillomas (significant) and squamous cell carcinomas (nonsignificant) were observed  in rasH2 animals.",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; Decreased litter size and fertility rates at two highest doses,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; Probable purity of 97-98%,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,"Negative; Probable purity of 97-98% (There were probably 10 animals in each interim sacrifice, but the information is not given by CA DPR)",uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity 88.35% (98% cis- and 2% trans-isomer),uncertain,negative,未纳入严格白名单的带方向结果,3
ccris,Negative; Purity 92.5%,uncertain,negative,未纳入严格白名单的带方向结果,3
ccris,Negative; Purity 92.7%,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity 93.3%,uncertain,negative,未纳入严格白名单的带方向结果,3
ccris,Negative; Purity 93.5%,uncertain,negative,未纳入严格白名单的带方向结果,4
ccris,Negative; Purity 95%,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; Purity 97%,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative; Purity 97.2%; Interim sacrifices of 10 additional animals/sex/dose at wks 13, 26, 52, 78",uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity 97.8 and 99.8%,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity 98%,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity 98.3%,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative; Purity 98.4%; Interim sacrifices of 10 additional animals/sex/dose at wks 26, 52, 78",uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity = 87.2%,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,"Negative; Purity = 92.7, 92.1%",uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; Purity was 94.5%,uncertain,negative,未纳入严格白名单的带方向结果,4
ccris,Negative; Slight but not statistically elevated incidence of  total neoplastic tumors (adenomas and carcinomas) in high dose females,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; Slight but not statistically elevated incidence of total neoplastic tumors (adenomas and carcinomas) in high dose females,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; Test material was 80% pure,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative; nonneoplastic changes observed,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative; p value not significant (NTP reports as Equivocal Evidence),uncertain,negative,带限制性描述的结果,1
ccris,ONLY 5% OF ANIMALS AT 4 WK TREATMENT DEVELOPED TUMORS,uncertain,,无法映射的结果,1
ccris,ONLY ABOUT 5% DEVELOPED TUMORS,uncertain,,无法映射的结果,1
ccris,POSITIVE,positive,positive,明确阳性白名单,3665
ccris,POSITIVE (100%); NO TUMORS AT INJECTION SITE,uncertain,positive,未纳入严格白名单的带方向结果,2
ccris,POSITIVE (15%),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE (5% INCIDENCE),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE (85%),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE (AT HIGHER DOSAGE AND LONGER DURATION),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE (P = 0.052); NTP REPORTS AS SOME EVIDENCE,uncertain,positive,带限制性描述的结果,1
ccris,POSITIVE ; MARGINAL BUT NOT SIGNIFICANT INCREASES OF HEMANGIOSARCOMAS OCCURRED IN THE UTERUS AND SKIN,uncertain,positive,带限制性描述的结果,1
ccris,POSITIVE AT HIGHER DOSES,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE IN MALES ONLY,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE- TUMOR INCIDENCE 30-100%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; (STATISTICALLY SIGNIFICANT FOR TOTAL NUMBER OF TUMORS),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; 27% INCIDENCE,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; ALL ANIMALS GIVEN 20 MG/KG DIED,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; ALMOST 80% INCIDENCE,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"POSITIVE; ALPHA-2U-GLOBULIN, INCIDENCES OF RENAL TUBULE REGENERATION AND GRANULAR CASTS IN MEDULLA AND DOSE-RELATED INCREASE IN SEVERITY OF HYALINE DROPLETS IN MALE RATS",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"POSITIVE; DUE TO MORTALITY, EXPOSURE IN 150 MG/L GROUP TERMINATED ON DAY 443",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; HIGHEST DOSE ONLY,uncertain,positive,未纳入严格白名单的带方向结果,2
ccris,POSITIVE; INADEQUATE STUDY TO DETERMINE CARCINOGENIC ACTIVITY,uncertain,positive,带限制性描述的结果,1
ccris,POSITIVE; INCIDENCE OF TUMORS WAS STATISTICALLY SIGNIFICANT,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; LEAN RATS HAD LONGER LATENT PERIOD AND LOWER TUMOR INCIDENCE THAN OBESE RATS,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"POSITIVE; NO TRUE DOSE RESPONSE, P VALUES = 0.01 IN THESE 2 CASES; ALL OTHERS NOT SIGNIFICANT",uncertain,positive,带限制性描述的结果,1
ccris,POSITIVE; OBESE RATS HAD HIGHER TUMOR INCIDENCE AND SHORTER LATENT PERIOD THAN LEAN RATS,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"POSITIVE; P VALUES AT 2 HIGHER LEVELS SIGNIFICANT, KIDNEY TUMORS INCREASED BUT NOT SIGNIFICANT",uncertain,positive,带限制性描述的结果,1
ccris,POSITIVE; RESPONSE ABOUT 30%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,POSITIVE; RESPONSE OF APPROXIMATELY 25% WITH 2 DOSES TO ALMOST 100%  AT 4 OR 8 DOSES,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive,positive,positive,明确阳性白名单,84
ccris,Positive  (Study details not given in source; purity 96.7%),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive (10,000 ppm group) (Purity of 90.7%; Study details n ot given in source)",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (80% incidence). Apparent lack of concurrent controls.,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (At highest dose only); CA DPR describes as a possible adverse effect,uncertain,positive,带限制性描述的结果,1
ccris,Positive (At highest dose),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Authors describe as clear evidence),uncertain,positive,未纳入严格白名单的带方向结果,2
ccris,Positive (CA DPR describes as possible adverse effect; study details not given in source),uncertain,positive,带限制性描述的结果,1
ccris,Positive (CA Department of Pesticide Regulation evaluator described as a possible adverse effect),uncertain,positive,带限制性描述的结果,1
ccris,Positive (Dose related metastasis of liver tumors to lung),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Evaluated as adverse effect by CA DPR; study details not given in source; purity 97.7%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (High dose only; study details not given in source),uncertain,positive,未纳入严格白名单的带方向结果,2
ccris,Positive (Highest dose),uncertain,positive,未纳入严格白名单的带方向结果,3
ccris,Positive (Historical controls only; reported incidence of liver tumors <2% at 2 yrs of age),uncertain,positive,未纳入严格白名单的带方向结果,1
